onset	duration	trial_type	trial_name	stim_file	stim_file_index
75.250	0.500	55	HORIZONTAL-U-D-25	prf_stim_081.png	81
76.100	0.500	43	HORIZONTAL-U-D-13	prf_stim_069.png	69
76.950	0.500	39	HORIZONTAL-U-D-9	prf_stim_065.png	65
77.800	0.500	13	VERTICAL-L-R-11	prf_stim_011.png	11
78.650	0.500	40	HORIZONTAL-U-D-10	prf_stim_187.png	187
79.500	0.500	26	VERTICAL-L-R-24	prf_stim_117.png	117
80.350	0.500	71	DIAGONAL-LD-RU-1	prf_stim_085.png	85
81.200	0.500	10	VERTICAL-L-R-8	prf_stim_008.png	8
82.050	0.500	54	HORIZONTAL-U-D-24	prf_stim_173.png	173
82.900	0.500	9	VERTICAL-L-R-7	prf_stim_007.png	7
83.750	0.500	4	VERTICAL-L-R-2	prf_stim_002.png	2
84.600	0.500	16	VERTICAL-L-R-14	prf_stim_127.png	127
85.450	0.500	28	VERTICAL-L-R-26	prf_stim_026.png	26
86.300	0.500	84	DIAGONAL-LU-RD-2	prf_stim_142.png	142
87.150	0.500	44	HORIZONTAL-U-D-14	prf_stim_070.png	70
88.000	0.500	69	DIAGONAL-RD-LU-11	prf_stim_039.png	39
88.850	0.500	25	VERTICAL-L-R-23	prf_stim_118.png	118
89.700	0.500	77	DIAGONAL-LD-RU-7	prf_stim_091.png	91
90.550	0.500	48	HORIZONTAL-U-D-18	prf_stim_179.png	179
91.400	0.500	37	HORIZONTAL-U-D-7	prf_stim_190.png	190
92.250	0.500	77	DIAGONAL-LD-RU-7	prf_stim_091.png	91
93.100	0.500	28	VERTICAL-L-R-26	prf_stim_026.png	26
93.950	0.500	61	DIAGONAL-RD-LU-3	prf_stim_031.png	31
94.800	0.500	79	DIAGONAL-LD-RU-9	prf_stim_093.png	93
95.650	0.500	7	VERTICAL-L-R-5	prf_stim_005.png	5
96.500	0.500	23	VERTICAL-L-R-21	prf_stim_120.png	120
97.350	0.500	54	HORIZONTAL-U-D-24	prf_stim_173.png	173
98.200	0.500	27	VERTICAL-L-R-25	prf_stim_025.png	25
99.050	0.500	53	HORIZONTAL-U-D-23	prf_stim_079.png	79
99.900	0.500	58	HORIZONTAL-U-D-28	prf_stim_084.png	84
100.750	0.500	84	DIAGONAL-LU-RD-2	prf_stim_142.png	142
101.600	0.500	47	HORIZONTAL-U-D-17	prf_stim_073.png	73
102.450	0.500	6	VERTICAL-L-R-4	prf_stim_137.png	137
103.300	0.500	9	VERTICAL-L-R-7	prf_stim_134.png	134
104.150	0.500	31	HORIZONTAL-U-D-1	prf_stim_196.png	196
105.000	0.500	3	VERTICAL-L-R-1	prf_stim_140.png	140
105.850	0.500	101	DIAGONAL-RU-LD-7	prf_stim_203.png	203
106.700	0.500	34	HORIZONTAL-U-D-4	prf_stim_060.png	60
107.550	0.500	73	DIAGONAL-LD-RU-3	prf_stim_087.png	87
108.400	0.500	71	DIAGONAL-LD-RU-1	prf_stim_085.png	85
109.250	0.500	22	VERTICAL-L-R-20	prf_stim_121.png	121
110.100	0.500	74	DIAGONAL-LD-RU-4	prf_stim_088.png	88
110.950	0.500	94	DIAGONAL-LU-RD-12	prf_stim_152.png	152
111.800	0.500	51	HORIZONTAL-U-D-21	prf_stim_176.png	176
112.650	0.500	53	HORIZONTAL-U-D-23	prf_stim_079.png	79
113.500	0.500	57	HORIZONTAL-U-D-27	prf_stim_170.png	170
114.350	0.500	6	VERTICAL-L-R-4	prf_stim_004.png	4
115.200	0.500	10	VERTICAL-L-R-8	prf_stim_008.png	8
116.050	0.500	52	HORIZONTAL-U-D-22	prf_stim_175.png	175
116.900	0.500	58	HORIZONTAL-U-D-28	prf_stim_084.png	84
117.750	0.500	9	VERTICAL-L-R-7	prf_stim_134.png	134
118.600	0.500	68	DIAGONAL-RD-LU-10	prf_stim_038.png	38
119.450	0.500	50	HORIZONTAL-U-D-20	prf_stim_076.png	76
120.300	0.500	46	HORIZONTAL-U-D-16	prf_stim_072.png	72
121.150	0.500	33	HORIZONTAL-U-D-3	prf_stim_194.png	194
122.000	0.500	16	VERTICAL-L-R-14	prf_stim_127.png	127
122.850	0.500	80	DIAGONAL-LD-RU-10	prf_stim_094.png	94
123.700	0.500	41	HORIZONTAL-U-D-11	prf_stim_067.png	67
124.550	0.500	49	HORIZONTAL-U-D-19	prf_stim_075.png	75
125.400	0.500	25	VERTICAL-L-R-23	prf_stim_023.png	23
126.250	0.500	93	DIAGONAL-LU-RD-11	prf_stim_151.png	151
127.100	0.500	56	HORIZONTAL-U-D-26	prf_stim_082.png	82
127.950	0.500	99	DIAGONAL-RU-LD-5	prf_stim_201.png	201
128.800	0.500	13	VERTICAL-L-R-11	prf_stim_130.png	130
129.650	0.500	20	VERTICAL-L-R-18	prf_stim_123.png	123
130.500	0.500	106	DIAGONAL-RU-LD-12	prf_stim_208.png	208
131.350	0.500	93	DIAGONAL-LU-RD-11	prf_stim_151.png	151
132.200	0.500	18	VERTICAL-L-R-16	prf_stim_016.png	16
133.050	0.500	20	VERTICAL-L-R-18	prf_stim_018.png	18
133.900	0.500	65	DIAGONAL-RD-LU-7	prf_stim_035.png	35
134.750	0.500	80	DIAGONAL-LD-RU-10	prf_stim_094.png	94
135.600	0.500	3	VERTICAL-L-R-1	prf_stim_140.png	140
136.450	0.500	32	HORIZONTAL-U-D-2	prf_stim_058.png	58
137.300	0.500	51	HORIZONTAL-U-D-21	prf_stim_176.png	176
138.150	0.500	58	HORIZONTAL-U-D-28	prf_stim_169.png	169
139.000	0.500	81	DIAGONAL-LD-RU-11	prf_stim_095.png	95
139.850	0.500	83	DIAGONAL-LU-RD-1	prf_stim_141.png	141
140.700	0.500	29	VERTICAL-L-R-27	prf_stim_114.png	114
141.550	0.500	84	DIAGONAL-LU-RD-2	prf_stim_142.png	142
142.400	0.500	100	DIAGONAL-RU-LD-6	prf_stim_202.png	202
143.250	0.500	70	DIAGONAL-RD-LU-12	prf_stim_040.png	40
144.100	0.500	38	HORIZONTAL-U-D-8	prf_stim_189.png	189
144.950	0.500	23	VERTICAL-L-R-21	prf_stim_021.png	21
145.800	0.500	14	VERTICAL-L-R-12	prf_stim_012.png	12
146.650	0.500	105	DIAGONAL-RU-LD-11	prf_stim_207.png	207
147.500	0.500	35	HORIZONTAL-U-D-5	prf_stim_061.png	61
148.350	0.500	8	VERTICAL-L-R-6	prf_stim_006.png	6
149.200	0.500	12	VERTICAL-L-R-10	prf_stim_010.png	10
150.050	0.500	94	DIAGONAL-LU-RD-12	prf_stim_152.png	152
150.900	0.500	18	VERTICAL-L-R-16	prf_stim_125.png	125
151.750	0.500	41	HORIZONTAL-U-D-11	prf_stim_186.png	186
152.600	0.500	49	HORIZONTAL-U-D-19	prf_stim_178.png	178
153.450	0.500	49	HORIZONTAL-U-D-19	prf_stim_178.png	178
154.300	0.500	56	HORIZONTAL-U-D-26	prf_stim_082.png	82
155.150	0.500	78	DIAGONAL-LD-RU-8	prf_stim_092.png	92
156.000	0.500	66	DIAGONAL-RD-LU-8	prf_stim_036.png	36
156.850	0.500	26	VERTICAL-L-R-24	prf_stim_117.png	117
157.700	0.500	6	VERTICAL-L-R-4	prf_stim_004.png	4
158.550	0.500	39	HORIZONTAL-U-D-9	prf_stim_065.png	65
159.400	0.500	15	VERTICAL-L-R-13	prf_stim_128.png	128
160.250	0.500	88	DIAGONAL-LU-RD-6	prf_stim_146.png	146
161.100	0.500	69	DIAGONAL-RD-LU-11	prf_stim_039.png	39
161.950	0.500	72	DIAGONAL-LD-RU-2	prf_stim_086.png	86
162.800	0.500	39	HORIZONTAL-U-D-9	prf_stim_188.png	188
163.650	0.500	71	DIAGONAL-LD-RU-1	prf_stim_085.png	85
164.500	0.500	6	VERTICAL-L-R-4	prf_stim_137.png	137
165.350	0.500	52	HORIZONTAL-U-D-22	prf_stim_078.png	78
166.200	0.500	5	VERTICAL-L-R-3	prf_stim_003.png	3
167.050	0.500	59	DIAGONAL-RD-LU-1	prf_stim_029.png	29
167.900	0.500	7	VERTICAL-L-R-5	prf_stim_005.png	5
168.750	0.500	6	VERTICAL-L-R-4	prf_stim_137.png	137
