onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
134.75	0.5	0.35	102	DIAGONAL-RU-LD-8	images/prf_1_204.png	204
135.6	0.5	0.35	103	DIAGONAL-RU-LD-9	images/prf_1_205.png	205
136.45	0.5	0.35	104	DIAGONAL-RU-LD-10	images/prf_1_206.png	206
137.3	0.5	0.35	105	DIAGONAL-RU-LD-11	images/prf_1_207.png	207
138.15	0.5	0.35	106	DIAGONAL-RU-LD-12	images/prf_1_208.png	208
139.55	0.5	0.35	3	VERTICAL-L-R-1	images/prf_2_001.png	1
140.4	0.5	0.35	4	VERTICAL-L-R-2	images/prf_2_002.png	2
141.25	0.5	0.35	5	VERTICAL-L-R-3	images/prf_2_003.png	3
142.102	0.5	0.35	6	VERTICAL-L-R-4	images/prf_2_004.png	4
142.952	0.5	0.35	7	VERTICAL-L-R-5	images/prf_2_005.png	5
143.8	0.5	0.35	8	VERTICAL-L-R-6	images/prf_2_006.png	6
144.65	0.5	0.35	9	VERTICAL-L-R-7	images/prf_2_007.png	7
145.5	0.5	0.35	10	VERTICAL-L-R-8	images/prf_2_008.png	8
146.352	0.5	0.35	11	VERTICAL-L-R-9	images/prf_2_009.png	9
147.202	0.5	0.35	12	VERTICAL-L-R-10	images/prf_2_010.png	10
148.05	0.5	0.35	13	VERTICAL-L-R-11	images/prf_2_011.png	11
148.9	0.5	0.35	14	VERTICAL-L-R-12	images/prf_2_012.png	12
149.75	0.5	0.35	15	VERTICAL-L-R-13	images/prf_2_013.png	13
150.602	0.5	0.35	16	VERTICAL-L-R-14	images/prf_2_014.png	14
151.452	0.5	0.35	17	VERTICAL-L-R-15	images/prf_2_015.png	15
152.3	0.5	0.35	18	VERTICAL-L-R-16	images/prf_2_016.png	16
153.15	0.5	0.35	19	VERTICAL-L-R-17	images/prf_2_017.png	17
154	0.5	0.35	20	VERTICAL-L-R-18	images/prf_2_018.png	18
154.852	0.5	0.35	21	VERTICAL-L-R-19	images/prf_2_019.png	19
155.702	0.5	0.35	22	VERTICAL-L-R-20	images/prf_2_020.png	20
156.55	0.5	0.35	23	VERTICAL-L-R-21	images/prf_2_021.png	21
157.4	0.5	0.35	24	VERTICAL-L-R-22	images/prf_2_022.png	22
158.25	0.5	0.35	25	VERTICAL-L-R-23	images/prf_2_023.png	23
159.102	0.5	0.35	26	VERTICAL-L-R-24	images/prf_2_024.png	24
159.952	0.5	0.35	27	VERTICAL-L-R-25	images/prf_2_025.png	25
160.8	0.5	0.35	28	VERTICAL-L-R-26	images/prf_2_026.png	26
161.65	0.5	0.35	29	VERTICAL-L-R-27	images/prf_2_027.png	27
162.5	0.5	0.35	30	VERTICAL-L-R-28	images/prf_2_028.png	28
163.352	0.5	0.35	59	DIAGONAL-RD-LU-1	images/prf_2_029.png	29
164.202	0.5	0.35	60	DIAGONAL-RD-LU-2	images/prf_2_030.png	30
165.05	0.5	0.35	61	DIAGONAL-RD-LU-3	images/prf_2_031.png	31
165.9	0.5	0.35	62	DIAGONAL-RD-LU-4	images/prf_2_032.png	32
166.75	0.5	0.35	63	DIAGONAL-RD-LU-5	images/prf_2_033.png	33
167.602	0.5	0.35	64	DIAGONAL-RD-LU-6	images/prf_2_034.png	34
168.452	0.5	0.35	65	DIAGONAL-RD-LU-7	images/prf_2_035.png	35
169.3	0.5	0.35	66	DIAGONAL-RD-LU-8	images/prf_2_036.png	36
170.15	0.5	0.35	67	DIAGONAL-RD-LU-9	images/prf_2_037.png	37
171.003	0.5	0.35	68	DIAGONAL-RD-LU-10	images/prf_2_038.png	38
171.852	0.5	0.35	69	DIAGONAL-RD-LU-11	images/prf_2_039.png	39
172.705	0.5	0.35	70	DIAGONAL-RD-LU-12	images/prf_2_040.png	40
173.554	0.5	0.35	31	HORIZONTAL-U-D-1	images/prf_2_057.png	57
174.403	0.5	0.35	32	HORIZONTAL-U-D-2	images/prf_2_058.png	58
175.253	0.5	0.35	33	HORIZONTAL-U-D-3	images/prf_2_059.png	59
176.102	0.5	0.35	34	HORIZONTAL-U-D-4	images/prf_2_060.png	60
176.955	0.5	0.35	35	HORIZONTAL-U-D-5	images/prf_2_061.png	61
177.804	0.5	0.35	36	HORIZONTAL-U-D-6	images/prf_2_062.png	62
178.653	0.5	0.35	37	HORIZONTAL-U-D-7	images/prf_2_063.png	63
179.503	0.5	0.35	38	HORIZONTAL-U-D-8	images/prf_2_064.png	64
180.352	0.5	0.35	39	HORIZONTAL-U-D-9	images/prf_2_065.png	65
181.205	0.5	0.35	40	HORIZONTAL-U-D-10	images/prf_2_066.png	66
182.054	0.5	0.35	41	HORIZONTAL-U-D-11	images/prf_2_067.png	67
182.903	0.5	0.35	42	HORIZONTAL-U-D-12	images/prf_2_068.png	68
183.753	0.5	0.35	43	HORIZONTAL-U-D-13	images/prf_2_069.png	69
184.602	0.5	0.35	44	HORIZONTAL-U-D-14	images/prf_2_070.png	70
185.455	0.5	0.35	45	HORIZONTAL-U-D-15	images/prf_2_071.png	71
186.304	0.5	0.35	46	HORIZONTAL-U-D-16	images/prf_2_072.png	72
187.153	0.5	0.35	47	HORIZONTAL-U-D-17	images/prf_2_073.png	73
188.003	0.5	0.35	48	HORIZONTAL-U-D-18	images/prf_2_074.png	74
188.852	0.5	0.35	49	HORIZONTAL-U-D-19	images/prf_2_075.png	75
189.705	0.5	0.35	50	HORIZONTAL-U-D-20	images/prf_2_076.png	76
190.554	0.5	0.35	51	HORIZONTAL-U-D-21	images/prf_2_077.png	77
191.403	0.5	0.35	52	HORIZONTAL-U-D-22	images/prf_2_078.png	78
192.253	0.5	0.35	53	HORIZONTAL-U-D-23	images/prf_2_079.png	79
193.102	0.5	0.35	54	HORIZONTAL-U-D-24	images/prf_2_080.png	80
193.955	0.5	0.35	55	HORIZONTAL-U-D-25	images/prf_2_081.png	81
194.804	0.5	0.35	56	HORIZONTAL-U-D-26	images/prf_2_082.png	82
195.653	0.5	0.35	57	HORIZONTAL-U-D-27	images/prf_2_083.png	83
196.503	0.5	0.35	58	HORIZONTAL-U-D-28	images/prf_2_084.png	84
197.352	0.5	0.35	71	DIAGONAL-LD-RU-1	images/prf_2_085.png	85
198.2	0.5	0.35	72	DIAGONAL-LD-RU-2	images/prf_2_086.png	86
